film,year_film,year_ceremony,ceremony,category,name,winner
The Stone Carvers,1984,1985,57,DOCUMENTARY (Short Subject),"Marjorie Hunt and Paul Wagner, Producers",TRUE
Beyond the Walls,1984,1985,57,FOREIGN LANGUAGE FILM,Israel,FALSE
Camila,1984,1985,57,FOREIGN LANGUAGE FILM,Argentina,FALSE
Dangerous Moves,1984,1985,57,FOREIGN LANGUAGE FILM,Switzerland,TRUE
Double Feature,1984,1985,57,FOREIGN LANGUAGE FILM,Spain,FALSE
Wartime Romance,1984,1985,57,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
Songwriter,1984,1985,57,MUSIC (Original Song Score),Kris Kristofferson,FALSE
Doctor De Soto,1984,1985,57,SHORT FILM (Animated),"Morton Schindel and Michael Sporn, Producers",FALSE
The Painted Door,1984,1985,57,SHORT FILM (Live Action),"Michael MacMillan and Janice L. Platt, Producers",FALSE
Tales of Meeting and Parting,1984,1985,57,SHORT FILM (Live Action),"Sharon Oreck and Lesli Linka Glatter, Producers",FALSE
El Norte,1984,1985,57,WRITING (Screenplay Written Directly for the Screen),"Gregory Nava, Anna Thomas",FALSE
Murphy's Romance,1985,1986,58,ACTOR IN A LEADING ROLE,James Garner,FALSE
Agnes of God,1985,1986,58,ACTRESS IN A LEADING ROLE,Anne Bancroft,FALSE
Sweet Dreams,1985,1986,58,ACTRESS IN A LEADING ROLE,Jessica Lange,FALSE
The Trip to Bountiful,1985,1986,58,ACTRESS IN A LEADING ROLE,Geraldine Page,TRUE
Twice in a Lifetime,1985,1986,58,ACTRESS IN A SUPPORTING ROLE,Amy Madigan,FALSE
Ran,1985,1986,58,ART DIRECTION,"Art Direction:  Yoshiro Muraki, Shinobu Muraki",FALSE
Broken Rainbow,1985,1986,58,DOCUMENTARY (Feature),"Maria Florio and Victoria Mudd, Producers",TRUE
Las Madres--The Mothers of Plaza de Mayo,1985,1986,58,DOCUMENTARY (Feature),"Susana MuÃ±oz and Lourdes Portillo, Producers",FALSE
Soldiers in Hiding,1985,1986,58,DOCUMENTARY (Feature),"Japhet Asher, Producer",FALSE
The Statue of Liberty,1985,1986,58,DOCUMENTARY (Feature),"Ken Burns and Buddy Squires, Producers",FALSE
The Courage to Care,1985,1986,58,DOCUMENTARY (Short Subject),"Robert Gardner, Producer",FALSE
Keats and His Nightingale: A Blind Date,1985,1986,58,DOCUMENTARY (Short Subject),"Michael Crowley and James Wolpaw, Producers",FALSE
Making Overtures--The Story of a Community Orchestra,1985,1986,58,DOCUMENTARY (Short Subject),"Barbara Willis Sweete, Producer",FALSE
Witness to War: Dr. Charlie Clements,1985,1986,58,DOCUMENTARY (Short Subject),"David Goodman, Producer",TRUE
The Wizard of the Strings,1985,1986,58,DOCUMENTARY (Short Subject),"Alan Edelstein, Producer",FALSE
Angry Harvest,1985,1986,58,FOREIGN LANGUAGE FILM,Federal Republic of Germany,FALSE
Colonel Redl,1985,1986,58,FOREIGN LANGUAGE FILM,Hungary,FALSE
The Official Story,1985,1986,58,FOREIGN LANGUAGE FILM,Argentina,TRUE
Three Men and a Cradle,1985,1986,58,FOREIGN LANGUAGE FILM,France,FALSE
When Father Was Away on Business,1985,1986,58,FOREIGN LANGUAGE FILM,Yugoslavia,FALSE
Remo Williams: The Adventure Begins,1985,1986,58,MAKEUP,Carl Fullerton,FALSE
Anna & Bella,1985,1986,58,SHORT FILM (Animated),"Cilia Van Dijk, Producer",TRUE
The Big Snit,1985,1986,58,SHORT FILM (Animated),"Richard Condie and Michael Scott, Producers",FALSE
Second Class Mail,1985,1986,58,SHORT FILM (Animated),"Alison Snowden, Producer",FALSE
Graffiti,1985,1986,58,SHORT FILM (Live Action),"Dianna Costello, Producer",FALSE
Molly's Pilgrim,1985,1986,58,SHORT FILM (Live Action),"Jeff Brown and Chris Pelzer, Producers",TRUE
Rainbow War,1985,1986,58,SHORT FILM (Live Action),"Bob Rogers, Producer",FALSE
'Round Midnight,1986,1987,59,ACTOR IN A LEADING ROLE,Dexter Gordon,FALSE
The Morning After,1986,1987,59,ACTRESS IN A LEADING ROLE,Jane Fonda,FALSE
Crimes of the Heart,1986,1987,59,ACTRESS IN A LEADING ROLE,Sissy Spacek,FALSE
Otello,1986,1987,59,COSTUME DESIGN,"Anna Anni, Maurizio Millenotti",FALSE
Artie Shaw: Time Is All You've Got,1986,1987,59,DOCUMENTARY (Feature),"Brigitte Berman, Producer",TRUE
Chile: Hasta Cuando?,1986,1987,59,DOCUMENTARY (Feature),"David Bradbury, Producer",FALSE
Down and Out in America,1986,1987,59,DOCUMENTARY (Feature),"Joseph Feury and Milton Justice, Producers",TRUE
Isaac in America: A Journey with Isaac Bashevis Singer,1986,1987,59,DOCUMENTARY (Feature),"Kirk Simon and Amram Nowak, Producers",FALSE
Witness to Apartheid,1986,1987,59,DOCUMENTARY (Feature),"Sharon I. Sopher, Producer",FALSE
Debonair Dancers,1986,1987,59,DOCUMENTARY (Short Subject),"Alison Nigh-Strelich, Producer",FALSE
The Masters of Disaster,1986,1987,59,DOCUMENTARY (Short Subject),"Sonya Friedman, Producer",FALSE
Red Grooms: Sunflower in a Hothouse,1986,1987,59,DOCUMENTARY (Short Subject),"Thomas L. Neff and Madeline Bell, Producers",FALSE
Sam,1986,1987,59,DOCUMENTARY (Short Subject),"Aaron D. Weisblatt, Producer",FALSE
"Women--for America, for the World",1986,1987,59,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe, Producer",TRUE
The Assault,1986,1987,59,FOREIGN LANGUAGE FILM,The Netherlands,TRUE
Betty Blue,1986,1987,59,FOREIGN LANGUAGE FILM,France,FALSE
The Decline of the American Empire,1986,1987,59,FOREIGN LANGUAGE FILM,Canada,FALSE
My Sweet Little Village,1986,1987,59,FOREIGN LANGUAGE FILM,Czechoslovakia,FALSE
'38',1986,1987,59,FOREIGN LANGUAGE FILM,Austria,FALSE
The Karate Kid Part II,1986,1987,59,MUSIC (Original Song),Music by Peter Cetera and David Foster; Lyric by Peter Cetera and Diane Nini,FALSE
That's Life,1986,1987,59,MUSIC (Original Song),Music by Henry Mancini; Lyric by Leslie Bricusse,FALSE
"The Frog, the Dog and the Devil",1986,1987,59,SHORT FILM (Animated),"Bob Stenhouse, Producer",FALSE
A Greek Tragedy,1986,1987,59,SHORT FILM (Animated),"Linda Van Tulden and Willem Thijssen, Producers",TRUE
Exit,1986,1987,59,SHORT FILM (Live Action),"Stefano Reali and Pino Quartullo, Producers",FALSE
Love Struck,1986,1987,59,SHORT FILM (Live Action),"Fredda Weiss, Producer",FALSE
Precious Images,1986,1987,59,SHORT FILM (Live Action),"Chuck Workman, Producer",TRUE
'Crocodile' Dundee,1986,1987,59,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Paul Hogan, Ken Shadie, John Cornell;  Story by Paul Hogan",FALSE
Dark Eyes,1987,1988,60,ACTOR IN A LEADING ROLE,Marcello Mastroianni,FALSE
Street Smart,1987,1988,60,ACTOR IN A SUPPORTING ROLE,Morgan Freeman,FALSE
Anna,1987,1988,60,ACTRESS IN A LEADING ROLE,Sally Kirkland,FALSE
Gaby - A True Story,1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Norma Aleandro,FALSE
The Whales of August,1987,1988,60,ACTRESS IN A SUPPORTING ROLE,Ann Sothern,FALSE
Matewan,1987,1988,60,CINEMATOGRAPHY,Haskell Wexler,FALSE
My Life as a Dog,1987,1988,60,DIRECTING,Lasse HallstrÃ¶m,FALSE
Eyes on the Prize: America's Civil Rights Years/Bridge to Freedom 1965,1987,1988,60,DOCUMENTARY (Feature),"Callie Crossley and James A. DeVinney, Producers",FALSE
Hellfire: A Journey from Hiroshima,1987,1988,60,DOCUMENTARY (Feature),"John Junkerman and John W. Dower, Producers",FALSE
Radio Bikini,1987,1988,60,DOCUMENTARY (Feature),"Robert Stone, Producer",FALSE
A Stitch for Time,1987,1988,60,DOCUMENTARY (Feature),"Barbara Herbich and Cyril Christo, Producers",FALSE
The Ten-Year Lunch: The Wit and Legend of the Algonquin Round Table,1987,1988,60,DOCUMENTARY (Feature),"Aviva Slesin, Producer",TRUE
Frances Steloff: Memoirs of a Bookseller,1987,1988,60,DOCUMENTARY (Short Subject),"Deborah Dickson, Producer",FALSE
In the Wee Wee Hours...,1987,1988,60,DOCUMENTARY (Short Subject),"Dr. Frank Daniel and Izak Ben-Meir, Producers",FALSE
Language Says It All,1987,1988,60,DOCUMENTARY (Short Subject),"Megan Williams, Producer",FALSE
Silver into Gold,1987,1988,60,DOCUMENTARY (Short Subject),"Lynn Mueller, Producer",FALSE
Young at Heart,1987,1988,60,DOCUMENTARY (Short Subject),"Sue Marx and Pamela Conn, Producers",TRUE
"Au Revoir Les Enfants (Goodbye, Children)",1987,1988,60,FOREIGN LANGUAGE FILM,France,FALSE
Babette's Feast,1987,1988,60,FOREIGN LANGUAGE FILM,Denmark,TRUE
Course Completed,1987,1988,60,FOREIGN LANGUAGE FILM,Spain,FALSE
Happy New Year,1987,1988,60,MAKEUP,Bob Laden,FALSE
George and Rosemary,1987,1988,60,SHORT FILM (Animated),"Eunice Macaulay, Producer",FALSE
The Man Who Planted Trees,1987,1988,60,SHORT FILM (Animated),"FrÃ©dÃ©ric Back, Producer",TRUE
Your Face,1987,1988,60,SHORT FILM (Animated),"Bill Plympton, Producer",FALSE
Making Waves,1987,1988,60,SHORT FILM (Live Action),"Ann Wingate, Producer",FALSE
Ray's Male Heterosexual Dance Hall,1987,1988,60,SHORT FILM (Live Action),"Jonathan Sanger and Jana Sue Memel, Producers",TRUE
Shoeshine,1987,1988,60,SHORT FILM (Live Action),"Robert A. Katz, Producer",FALSE
Pelle the Conqueror,1988,1989,61,ACTOR IN A LEADING ROLE,Max von Sydow,FALSE
Little Dorrit,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Alec Guinness,FALSE
Tucker The Man and His Dream,1988,1989,61,ACTOR IN A SUPPORTING ROLE,Martin Landau,FALSE
A Handful of Dust,1988,1989,61,COSTUME DESIGN,Jane Robinson,FALSE
Sunset,1988,1989,61,COSTUME DESIGN,Patricia Norris,FALSE
The Cry of Reason - Beyers NaudÃ©: An Afrikaner Speaks Out,1988,1989,61,DOCUMENTARY (Feature),"Robert Bilheimer and Ronald Mix, Producers",FALSE
Hotel Terminus: The Life and Times of Klaus Barbie,1988,1989,61,DOCUMENTARY (Feature),"Marcel Ophuls, Producer",TRUE
Let's Get Lost,1988,1989,61,DOCUMENTARY (Feature),"Bruce Weber and Nan Bush, Producers",FALSE
Promises to Keep,1988,1989,61,DOCUMENTARY (Feature),"Ginny Durrin, Producer",FALSE
Who Killed Vincent Chin?,1988,1989,61,DOCUMENTARY (Feature),"Renee Tajima and Christine Choy, Producers",FALSE
The Children's Storefront,1988,1989,61,DOCUMENTARY (Short Subject),"Karen Goodman, Producer",FALSE
Family Gathering,1988,1989,61,DOCUMENTARY (Short Subject),"Lise Yasui and Ann Tegnell, Producers",FALSE
Gang Cops,1988,1989,61,DOCUMENTARY (Short Subject),"Thomas B. Fleming and Daniel J. Marks, Producers",FALSE
Portrait of Imogen,1988,1989,61,DOCUMENTARY (Short Subject),"Nancy Hale and Meg Partridge, Producers",FALSE
You Don't Have to Die,1988,1989,61,DOCUMENTARY (Short Subject),"William Guttentag and Malcolm Clarke, Producers",TRUE
Hanussen,1988,1989,61,FOREIGN LANGUAGE FILM,Hungary,FALSE
The Music Teacher,1988,1989,61,FOREIGN LANGUAGE FILM,Belgium,FALSE
Salaam Bombay!,1988,1989,61,FOREIGN LANGUAGE FILM,India,FALSE
Women on the Verge of a Nervous Breakdown,1988,1989,61,FOREIGN LANGUAGE FILM,Spain,FALSE
The Milagro Beanfield War,1988,1989,61,MUSIC (Original Score),Dave Grusin,TRUE
Bagdad Cafe,1988,1989,61,MUSIC (Original Song),Music and Lyric by Bob Telson,FALSE
Buster,1988,1989,61,MUSIC (Original Song),Music by Lamont Dozier; Lyric by Phil Collins,FALSE
The Cat Came Back,1988,1989,61,SHORT FILM (Animated),Cordell Barker,FALSE
Technological Threat,1988,1989,61,SHORT FILM (Animated),"Bill Kroyer, Brian Jennings",FALSE
The Appointments of Dennis Jennings,1988,1989,61,SHORT FILM (Live Action),"Dean Parisot, Steven Wright",TRUE
Cadillac Dreams,1988,1989,61,SHORT FILM (Live Action),"Matia Karrell, Abbee Goldstein",FALSE
Gullah Tales,1988,1989,61,SHORT FILM (Live Action),"George deGolian, Gary Moss",FALSE
My Left Foot,1989,1990,62,ACTOR IN A LEADING ROLE,Daniel Day Lewis,TRUE
A Dry White Season,1989,1990,62,ACTOR IN A SUPPORTING ROLE,Marlon Brando,FALSE
Camille Claudel,1989,1990,62,ACTRESS IN A LEADING ROLE,Isabelle Adjani,FALSE
Shirley Valentine,1989,1990,62,ACTRESS IN A LEADING ROLE,Pauline Collins,FALSE
"Enemies, A Love Story",1989,1990,62,ACTRESS IN A SUPPORTING ROLE,Anjelica Huston,FALSE
Blaze,1989,1990,62,CINEMATOGRAPHY,Haskell Wexler,FALSE
Adam Clayton Powell,1989,1990,62,DOCUMENTARY (Feature),"Richard Kilberg and Yvonne Smith, Producers",FALSE
Common Threads: Stories from the Quilt,1989,1990,62,DOCUMENTARY (Feature),"Robert Epstein and Bill CouturiÃ©, Producers",TRUE
Crack USA: County under Siege,1989,1990,62,DOCUMENTARY (Feature),"Vince DiPersio and William Guttentag, Producers",FALSE
Super Chief: The Life and Legacy of Earl Warren,1989,1990,62,DOCUMENTARY (Feature),"Judith Leonard and Bill Jersey, Producers",FALSE
"Fine Food, Fine Pastries, Open 6 to 9",1989,1990,62,DOCUMENTARY (Short Subject),"David Petersen, Producer",FALSE
The Johnstown Flood,1989,1990,62,DOCUMENTARY (Short Subject),"Charles Guggenheim, Producer",TRUE
Yad Vashem: Preserving the Past to Ensure the Future,1989,1990,62,DOCUMENTARY (Short Subject),"Ray Errol Fox, Producer",FALSE
The Bear,1989,1990,62,FILM EDITING,NoÃ«lle Boisson,FALSE
Cinema Paradiso,1989,1990,62,FOREIGN LANGUAGE FILM,Italy,TRUE
Jesus of Montreal,1989,1990,62,FOREIGN LANGUAGE FILM,Canada,FALSE
Waltzing Regitze,1989,1990,62,FOREIGN LANGUAGE FILM,Denmark,FALSE
What Happened to Santiago,1989,1990,62,FOREIGN LANGUAGE FILM,Puerto Rico,FALSE
Dad,1989,1990,62,MAKEUP,"Dick Smith, Ken Diaz, Greg Nelson",FALSE
Balance,1989,1990,62,SHORT FILM (Animated),"Christoph Lauenstein, Wolfgang Lauenstein",TRUE
The Cow,1989,1990,62,SHORT FILM (Animated),Alexander Petrov,FALSE
The Hill Farm,1989,1990,62,SHORT FILM (Animated),Mark Baker,FALSE
Amazon Diary,1989,1990,62,SHORT FILM (Live Action),Robert Nixon,FALSE
The Childeater,1989,1990,62,SHORT FILM (Live Action),Jonathan Tammuz,FALSE
Work Experience,1989,1990,62,SHORT FILM (Live Action),James Hendrie,TRUE
"sex, lies, and videotape",1989,1990,62,WRITING (Screenplay Written Directly for the Screen),Steven Soderbergh,FALSE
Dances With Wolves,1990,1991,63,ACTOR IN A LEADING ROLE,Kevin Costner,FALSE
Cyrano de Bergerac,1990,1991,63,ACTOR IN A LEADING ROLE,Gerard Depardieu,FALSE
The Field,1990,1991,63,ACTOR IN A LEADING ROLE,Richard Harris,FALSE
Longtime Companion,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Bruce Davison,FALSE
"The Godfather, Part III",1990,1991,63,ACTOR IN A SUPPORTING ROLE,Andy Garcia,FALSE
Good Fellas,1990,1991,63,ACTOR IN A SUPPORTING ROLE,Joe Pesci,TRUE
Mr. & Mrs. Bridge,1990,1991,63,ACTRESS IN A LEADING ROLE,Joanne Woodward,FALSE
Avalon,1990,1991,63,CINEMATOGRAPHY,Allen Daviau,FALSE
American Dream,1990,1991,63,DOCUMENTARY (Feature),"Barbara Kopple and Arthur Cohn, Producers",TRUE
Berkeley in the Sixties,1990,1991,63,DOCUMENTARY (Feature),"Mark Kitchell, Producer",FALSE
Building Bombs,1990,1991,63,DOCUMENTARY (Feature),"Mark Mori and Susan Robinson, Producers",FALSE
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,1990,1991,63,DOCUMENTARY (Feature),"Judith Montell, Producer",FALSE
Waldo Salt: A Screenwriter's Journey,1990,1991,63,DOCUMENTARY (Feature),"Robert Hillmann and Eugene Corr, Producers",FALSE
Burning Down Tomorrow,1990,1991,63,DOCUMENTARY (Short Subject),"Kit Thomas, Producer",FALSE
Chimps: So Like Us,1990,1991,63,DOCUMENTARY (Short Subject),"Karen Goodman and Kirk Simon, Producers",FALSE
Days of Waiting,1990,1991,63,DOCUMENTARY (Short Subject),"Steven Okazaki, Producer",TRUE
Journey into Life: The World of the Unborn,1990,1991,63,DOCUMENTARY (Short Subject),"Derek Bromhall, Producer",FALSE
Rose Kennedy: A Life to Remember,1990,1991,63,DOCUMENTARY (Short Subject),"Freida Lee Mock and Terry Sanders, Producers",FALSE
Journey of Hope,1990,1991,63,FOREIGN LANGUAGE FILM,Switzerland,TRUE
Ju Dou,1990,1991,63,FOREIGN LANGUAGE FILM,People's Republic of China,FALSE
The Nasty Girl,1990,1991,63,FOREIGN LANGUAGE FILM,Germany,FALSE
Open Doors,1990,1991,63,FOREIGN LANGUAGE FILM,Italy,FALSE
Havana,1990,1991,63,MUSIC (Original Score),David Grusin,FALSE
Creature Comforts,1990,1991,63,SHORT FILM (Animated),Nick Park,TRUE
Grasshoppers (Cavallette),1990,1991,63,SHORT FILM (Animated),Bruno Bozzetto,FALSE
Bronx Cheers,1990,1991,63,SHORT FILM (Live Action),"Raymond De Felitta, Matthew Gross",FALSE
Dear Rosie,1990,1991,63,SHORT FILM (Live Action),"Peter Cattaneo, Barnaby Thompson",FALSE
The Lunch Date,1990,1991,63,SHORT FILM (Live Action),Adam Davidson,TRUE
Senzeni Na? (What Have We Done?),1990,1991,63,SHORT FILM (Live Action),"Bernard Joffa, Anthony E. Nicholas",FALSE
12:01 PM,1990,1991,63,SHORT FILM (Live Action),"Hillary Ripps, Jonathan Heap",FALSE
Rambling Rose,1991,1992,64,ACTRESS IN A LEADING ROLE,Laura Dern,FALSE
For the Boys,1991,1992,64,ACTRESS IN A LEADING ROLE,Bette Midler,FALSE
Boyz N the Hood,1991,1992,64,DIRECTING,John Singleton,FALSE
Death on the Job,1991,1992,64,DOCUMENTARY (Feature),"Vince DiPersio and William Guttentag, Producers",FALSE
Doing Time: Life inside the Big House,1991,1992,64,DOCUMENTARY (Feature),"Alan Raymond and Susan Raymond, Producers",FALSE
In the Shadow of the Stars,1991,1992,64,DOCUMENTARY (Feature),"Allie Light and Irving Saraf, Producers",TRUE
The Restless Conscience,1991,1992,64,DOCUMENTARY (Feature),"Hava Kohav Beller, Producer",FALSE
Wild by Law,1991,1992,64,DOCUMENTARY (Feature),"Lawrence Hott and Diane Garey, Producers",FALSE
Birdnesters of Thailand (aka 'Shadow Hunters'),1991,1992,64,DOCUMENTARY (Short Subject),"Eric Valli and Alain Majani, Producers",FALSE
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1992,64,DOCUMENTARY (Short Subject),"Debra Chasnoff, Producer",TRUE
A Little Vicious,1991,1992,64,DOCUMENTARY (Short Subject),"Immy Humes, Producer",FALSE
The Mark of the Maker,1991,1992,64,DOCUMENTARY (Short Subject),"David McGowan, Producer",FALSE
Memorial: Letters from American Soldiers,1991,1992,64,DOCUMENTARY (Short Subject),"Bill CouturiÃ© and Bernard Edelman, Producers",FALSE
Children of Nature,1991,1992,64,FOREIGN LANGUAGE FILM,Iceland,FALSE
The Elementary School,1991,1992,64,FOREIGN LANGUAGE FILM,Czechoslovakia,FALSE
Mediterraneo,1991,1992,64,FOREIGN LANGUAGE FILM,Italy,TRUE
The Ox,1991,1992,64,FOREIGN LANGUAGE FILM,Sweden,FALSE
Raise the Red Lantern,1991,1992,64,FOREIGN LANGUAGE FILM,Hong Kong,FALSE
Star Trek VI The Undiscovered Country,1991,1992,64,MAKEUP,"Michael Mills, Edward French, Richard Snell",FALSE
Blackfly,1991,1992,64,SHORT FILM (Animated),Christopher Hinton,FALSE
Manipulation,1991,1992,64,SHORT FILM (Animated),Daniel Greaves,TRUE
Strings,1991,1992,64,SHORT FILM (Animated),Wendy Tilby,FALSE
Birch Street Gym,1991,1992,64,SHORT FILM (Live Action),"Stephen Kessler, Thomas R. Conroy",FALSE
Last Breeze of Summer,1991,1992,64,SHORT FILM (Live Action),David M. Massey,FALSE
Session Man,1991,1992,64,SHORT FILM (Live Action),"Seth Winston, Rob Fried",TRUE
Mr. Saturday Night,1992,1993,65,ACTOR IN A SUPPORTING ROLE,David Paymer,FALSE
Indochine,1992,1993,65,ACTRESS IN A LEADING ROLE,Catherine Deneuve,FALSE
Passion Fish,1992,1993,65,ACTRESS IN A LEADING ROLE,Mary McDonnell,FALSE
Love Field,1992,1993,65,ACTRESS IN A LEADING ROLE,Michelle Pfeiffer,FALSE
Bram Stoker's Dracula,1992,1993,65,ART DIRECTION,Art Direction:  Thomas Sanders;  Set Decoration:  Garrett Lewis,FALSE
The Lover,1992,1993,65,CINEMATOGRAPHY,Robert Fraisse,FALSE
A River Runs through It,1992,1993,65,CINEMATOGRAPHY,Philippe Rousselot,TRUE
Changing Our Minds: The Story of Dr. Evelyn Hooker,1992,1993,65,DOCUMENTARY (Feature),"David Haugland, Producer",FALSE
Fires of Kuwait,1992,1993,65,DOCUMENTARY (Feature),"Sally Dundas, Producer",FALSE
Liberators: Fighting on Two Fronts in World War II,1992,1993,65,DOCUMENTARY (Feature),"William Miles and Nina Rosenblum, Producers",FALSE
Music for the Movies: Bernard Herrmann,1992,1993,65,DOCUMENTARY (Feature),"Margaret Smilow and Roma Baran, Producers",FALSE
The Panama Deception,1992,1993,65,DOCUMENTARY (Feature),"Barbara Trent and David Kasper, Producers",TRUE
At the Edge of Conquest: The Journey of Chief Wai-Wai,1992,1993,65,DOCUMENTARY (Short Subject),"Geoffrey O'Connor, Producer",FALSE
Beyond Imagining: Margaret Anderson and the 'Little Review',1992,1993,65,DOCUMENTARY (Short Subject),"Wendy L. Weinberg, Producer",FALSE
The Colours of My Father: A Portrait of Sam Borenstein,1992,1993,65,DOCUMENTARY (Short Subject),"Richard Elson and Sally Bochner, Producers",FALSE
Educating Peter,1992,1993,65,DOCUMENTARY (Short Subject),"Thomas C. Goodwin and Gerardine Wurzburg, Producers",TRUE
When Abortion Was Illegal: Untold Stories,1992,1993,65,DOCUMENTARY (Short Subject),"Dorothy Fadiman, Producer",FALSE
Close to Eden,1992,1993,65,FOREIGN LANGUAGE FILM,Russia,FALSE
Daens,1992,1993,65,FOREIGN LANGUAGE FILM,Belgium,FALSE
A Place in the World,1992,1993,65,FOREIGN LANGUAGE FILM,Uruguay,FALSE
Schtonk!,1992,1993,65,FOREIGN LANGUAGE FILM,Germany,FALSE
Mona Lisa Descending a Staircase,1992,1993,65,SHORT FILM (Animated),Joan C. Gratz,TRUE
"Reci, Reci, Reci... (Words, Words, Words)",1992,1993,65,SHORT FILM (Animated),Michaela PavlÃ¡tovÃ¡,FALSE
The Sandman,1992,1993,65,SHORT FILM (Animated),Paul Berry,FALSE
Screen Play,1992,1993,65,SHORT FILM (Animated),Barry J.C. Purves,FALSE
Cruise Control,1992,1993,65,SHORT FILM (Live Action),Matt Palmieri,FALSE
The Lady in Waiting,1992,1993,65,SHORT FILM (Live Action),Christian M. Taylor,FALSE
Omnibus,1992,1993,65,SHORT FILM (Live Action),Sam Karmann,TRUE
Swan Song,1992,1993,65,SHORT FILM (Live Action),"Kenneth Branagh, David Parfitt",FALSE
Alien 3,1992,1993,65,VISUAL EFFECTS,"Richard Edlund, Alec Gillis, Tom Woodruff, Jr., George Gibbs",FALSE
Farewell My Concubine,1993,1994,66,CINEMATOGRAPHY,Gu Changwei,FALSE
The Broadcast Tapes of Dr. Peter,1993,1994,66,DOCUMENTARY (Feature),"David Paperny, Arthur Ginsberg",FALSE
Children of Fate,1993,1994,66,DOCUMENTARY (Feature),"Susan Todd, Andrew Young",FALSE
For Better or for Worse,1993,1994,66,DOCUMENTARY (Feature),"David Collier, Betsy Thompson",FALSE
I Am a Promise: The Children of Stanton Elementary School,1993,1994,66,DOCUMENTARY (Feature),"Susan Raymond, Alan Raymond",TRUE
The War Room,1993,1994,66,DOCUMENTARY (Feature),"D.A. Pennebaker, Chris Hegedus",FALSE
Blood Ties: The Life and Work of Sally Mann,1993,1994,66,DOCUMENTARY (Short Subject),"Steven Cantor, Peter Spirer",FALSE
Chicks in White Satin,1993,1994,66,DOCUMENTARY (Short Subject),"Elaine Holliman, Jason Schneider",FALSE
Defending Our Lives,1993,1994,66,DOCUMENTARY (Short Subject),"Margaret Lazarus, Renner Wunderlich",TRUE
Belle Epoque,1993,1994,66,FOREIGN LANGUAGE FILM,Spain,TRUE
Hedd Wyn,1993,1994,66,FOREIGN LANGUAGE FILM,United Kingdom,FALSE
The Scent of Green Papaya,1993,1994,66,FOREIGN LANGUAGE FILM,Vietnam,FALSE
The Wedding Banquet,1993,1994,66,FOREIGN LANGUAGE FILM,Taiwan,FALSE
Blindscape,1993,1994,66,SHORT FILM (Animated),Stephen Palmer,FALSE
The Mighty River,1993,1994,66,SHORT FILM (Animated),"FrÃ©dÃ©ric Back, Hubert Tison",FALSE
Small Talk,1993,1994,66,SHORT FILM (Animated),"Bob Godfrey, Kevin Baldwin",FALSE
Black Rider (Schwarzfahrer),1993,1994,66,SHORT FILM (Live Action),Pepe Danquart,TRUE
Down on the Waterfront,1993,1994,66,SHORT FILM (Live Action),"Stacy Title, Jonathan Penner",FALSE
The Dutch Master,1993,1994,66,SHORT FILM (Live Action),"Susan Seidelman, Jonathan Brett",FALSE
Partners,1993,1994,66,SHORT FILM (Live Action),"Peter Weller, Jana Sue Memel",FALSE
The Screw (La Vis),1993,1994,66,SHORT FILM (Live Action),Didier Flamand,FALSE
The Nightmare before Christmas,1993,1994,66,VISUAL EFFECTS,"Pete Kozachik, Eric Leighton, Ariel Velasco Shaw, Gordon Baker",FALSE
Bullets over Broadway,1994,1995,67,ACTOR IN A SUPPORTING ROLE,Chazz Palminteri,FALSE
Blue Sky,1994,1995,67,ACTRESS IN A LEADING ROLE,Jessica Lange,TRUE
Tom & Viv,1994,1995,67,ACTRESS IN A LEADING ROLE,Miranda Richardson,FALSE
Queen Margot,1994,1995,67,COSTUME DESIGN,Moidele Bickel,FALSE
Complaints of a Dutiful Daughter,1994,1995,67,DOCUMENTARY (Feature),Deborah Hoffmann,FALSE
D-Day Remembered,1994,1995,67,DOCUMENTARY (Feature),Charles Guggenheim,FALSE
Freedom on My Mind,1994,1995,67,DOCUMENTARY (Feature),"Connie Field, Marilyn Mulford",FALSE
A Great Day in Harlem,1994,1995,67,DOCUMENTARY (Feature),Jean Bach,FALSE
Maya Lin: A Strong Clear Vision,1994,1995,67,DOCUMENTARY (Feature),"Freida Lee Mock, Terry Sanders",TRUE
Blues Highway,1994,1995,67,DOCUMENTARY (Short Subject),"Vince DiPersio, Bill Guttentag",FALSE
89mm od Europy (89mm from Europe),1994,1995,67,DOCUMENTARY (Short Subject),Marcel Lozinski,FALSE
School of Assassins,1994,1995,67,DOCUMENTARY (Short Subject),Robert Richter,FALSE
Straight from the Heart,1994,1995,67,DOCUMENTARY (Short Subject),"Dee Mosbacher, Frances Reid",FALSE
A Time for Justice,1994,1995,67,DOCUMENTARY (Short Subject),Charles Guggenheim,TRUE
Burnt by the Sun,1994,1995,67,FOREIGN LANGUAGE FILM,Russia,TRUE
Eat Drink Man Woman,1994,1995,67,FOREIGN LANGUAGE FILM,Taiwan,FALSE
